Element,Molar_ratio,Enthalpy(kJ/mol),std_enthalpy(kJ/mol),a,Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Phase(0-1),Density(g/com^3),Price(USD/kg)
,0.21-0.23-0.16-0.14-0.18-0.08,-18.800203,8.032017,1.3474153,4.117773,1.2856798,14.4938135,1667.6797,24.647717,1.7583672,7.692618,6.8767185,2.635989,0.6209667,6.3366795,20.925392
,0.40-0.31-0.01-0.20-0.08,-6.851765,6.33083,1.4435223,3.7732296,4.1254687,10.965846,2577.707,15.458629,1.7906917,17.271328,5.0960016,0.82869667,0.999987,7.996844,24.365088
,0.29-0.17-0.22-0.06-0.12-0.14,-0.24915777,3.6652553,1.3980212,4.0617275,64.9561,14.100748,1147.7583,33.8191,1.6957264,13.613279,9.035131,3.821648,2.0609532e-09,6.35804,8.321629
,0.05-0.19-0.01-0.27-0.23-0.25,-3.0159721,6.801885,1.4401319,5.8723574,9.4881935,12.883928,2221.0708,12.998101,1.5107636,8.630592,4.417517,0.4954058,0.999343,6.65809,189.94441
,0.08-0.16-0.22-0.10-0.22-0.22,-7.4028196,9.401004,1.460479,6.0332456,4.5223207,14.492605,2310.0,24.942389,1.4711651,8.588789,4.245617,0.5833631,0.9999994,8.441764,455.7463
,0.07-0.33-0.20-0.38-0.02,-1.6906558,1.3946043,1.4003601,3.1893022,15.595102,10.987516,2399.6265,16.108227,1.6535327,10.730263,4.8871984,0.5319591,0.9996389,7.1853914,28.439726
,0.06-0.29-0.22-0.29-0.14,-10.563681,5.1736965,1.355515,2.4523578,2.0845945,12.397695,1776.2163,14.289088,1.82729,5.707235,8.164636,2.0209298,0.71672064,7.7156878,25.187025
,0.24-0.25-0.18-0.18-0.02-0.13,-7.88523,6.7047687,1.3357937,3.9061499,2.7045777,13.622076,1565.5626,27.736288,1.7807503,7.309591,7.459692,2.9739146,0.2360435,6.619261,22.658476
,0.12-0.26-0.09-0.18-0.34,-9.273343,5.092625,1.3521712,3.18577,2.291343,12.477669,1702.9148,17.948174,1.8294176,5.777526,8.1852045,2.2105584,0.37932092,7.5322027,22.173058
,0.01-0.28-0.11-0.20-0.13-0.27,-5.000997,2.7892845,1.3778707,2.756056,5.2359796,13.4151535,1951.9055,20.558094,1.8860228,7.0530257,8.251961,1.6091195,0.45547482,8.599845,22.555294
,0.15-0.23-0.05-0.18-0.19-0.11-0.09,-20.800215,8.860189,1.3529553,3.672862,1.2882459,15.558155,1722.2986,20.833578,1.7646668,7.9610405,7.056041,2.5674632,0.078525305,6.5509353,21.442835
,0.33-0.10-0.25-0.06-0.26,-3.0027826,1.5717585,1.3702487,1.800792,7.2255597,12.09707,1793.5564,7.924363,1.8350773,5.3977604,8.606971,1.2074705,0.91244066,8.35294,24.61023
,0.12-0.02-0.13-0.25-0.10-0.24-0.14,-10.852444,9.194599,1.356509,3.3581083,2.2487817,14.903407,1637.5298,22.39738,1.7799429,8.2165575,7.8518915,2.9854379,0.050083812,6.841871,7.8881826
,0.21-0.03-0.16-0.36-0.04-0.20,-11.116117,4.7923903,1.359099,4.477366,1.9936795,12.946829,1711.7683,27.491621,1.7888392,7.6502547,7.002339,2.4175346,0.15917243,6.6977997,7.743249
,0.29-0.10-0.07-0.23-0.24-0.07,-6.4271326,6.820245,1.3701718,1.7962724,3.8149295,13.678515,1792.523,9.764581,1.8303516,5.8974633,8.48348,1.7930613,0.9851756,7.993922,21.978466
,0.25-0.14-0.28-0.32,-5.2521977,2.530604,1.4212976,1.7458286,5.050741,11.20876,2366.6743,16.29217,1.6756577,12.088669,5.0737557,0.8442478,0.99786013,7.098906,22.230404
,0.13-0.28-0.20-0.09-0.08-0.22,-7.2183614,5.830211,1.3509331,3.3174582,3.3159635,14.078875,1700.123,21.638834,1.8052306,6.560098,7.9331517,2.4508333,0.06688651,7.3556175,23.66959
,0.30-0.31-0.09-0.27-0.03,-6.417137,3.7761915,1.3909466,2.0631814,3.6421924,11.680748,2000.937,16.786156,1.8207515,8.295574,7.632016,1.739248,0.60477674,8.036492,7.658414
,0.13-0.21-0.15-0.26-0.22-0.04,1.1399434,3.7281885,1.3737938,2.0633028,19.154234,13.9161,1569.0287,16.739523,1.8004318,8.404328,9.153312,1.7639095,0.25522617,8.259162,13.204988
,0.08-0.18-0.15-0.13-0.45,-8.039206,4.3988547,1.3627945,3.552997,2.7141125,11.869437,1838.2761,25.5055,1.9011617,6.7660084,8.421482,2.0852015,0.979916,8.285141,18.70957
,0.09-0.29-0.24-0.12-0.27,1.2078047,1.5936431,1.461976,4.9448123,24.02874,12.620472,2299.6008,13.872212,1.4901378,8.607355,4.404435,0.49272808,0.99999547,7.2579527,278.82275
,0.11-0.15-0.39-0.02-0.05-0.27,-6.1462708,5.5887446,1.3665109,3.6699746,3.4484634,12.393191,1710.2283,24.677845,1.8320605,9.545202,7.900833,2.2999425,0.6694548,7.358368,15.113242
,0.14-0.02-0.14-0.15-0.18-0.18-0.01-0.08-0.10,-9.277215,8.503362,1.3584406,3.629397,3.0001476,16.856106,1651.2124,23.198528,1.7817267,9.996203,7.4732785,2.7730334,0.17067583,7.0821886,3091.435
,0.33-0.26-0.21-0.04-0.16,-13.193473,4.8552837,1.3454216,5.1789618,1.5399811,12.263019,1656.8267,33.900486,1.7412665,8.378515,6.0814714,2.5133862,0.015559315,5.889962,6.7109804
,0.03-0.14-0.17-0.18-0.12-0.04-0.21-0.12,-7.401776,8.161202,1.3690357,2.3637984,3.810374,16.173153,1743.8486,16.858261,1.7863228,7.892733,8.111434,2.437555,0.2347858,7.4717407,14.335692
,0.13-0.57-0.22-0.09,-5.3359523,2.7981,1.3936596,1.9299606,2.7578661,9.428231,1560.827,25.272993,1.6780883,9.959466,8.133334,2.261229,0.012836021,7.662327,7.909596
,0.09-0.18-0.06-0.13-0.37-0.16,-26.200523,11.562034,1.3094087,7.639668,0.8742318,13.521733,1693.9639,15.581195,1.8504276,5.221393,7.6990066,2.591652,0.9623908,6.3243623,18.266745
,0.06-0.34-0.07-0.17-0.14-0.23,-0.735971,4.9273767,1.354819,2.4249406,30.925083,13.562272,1678.1798,16.094646,1.8519092,4.683257,8.865737,1.9316872,0.9783328,8.111724,25.265745
,0.16-0.08-0.25-0.33-0.03-0.15,0.9273848,2.0801594,1.479358,3.2430906,40.00193,13.3280525,2783.3938,15.318665,1.52477,14.585897,4.746193,0.5999759,1.0,11.562641,419.9536
,0.38-0.24-0.18-0.16-0.04,2.9538925,5.832656,1.3797903,1.7850121,7.423625,11.962043,1833.1814,17.443773,1.7846539,6.69678,8.141105,2.2169652,0.1747518,7.8353868,6.628342
,0.02-0.23-0.22-0.32-0.21,-4.326592,2.3735278,1.3756913,2.205882,5.2192965,12.16876,1855.7157,12.044184,1.8186837,5.400463,8.11092,1.5526946,0.8859866,8.021218,18.892714
,0.21-0.21-0.07-0.20-0.07-0.06-0.17,-14.611096,16.371964,1.4547086,7.7941856,2.6390796,15.228662,2532.0571,19.162092,1.488085,11.103453,4.4766235,0.500818,0.9995859,9.942532,530.8424
,0.29-0.12-0.27-0.18-0.14,-22.000317,8.022656,1.3470476,4.836778,0.9372187,12.881463,1600.6804,28.027761,1.7194635,7.8528748,6.1013412,2.6718783,0.73177326,5.5406733,4.7835674
,0.18-0.20-0.18-0.22-0.21-0.01,-12.6735935,5.9280457,1.3524914,3.9253697,1.8441457,13.785386,1695.4149,22.961565,1.7827439,6.7955484,7.307336,2.4478164,0.42294863,6.81273,18.616299
,0.24-0.32-0.18-0.25,-11.749795,4.767207,1.3480663,4.373483,1.6015916,11.364675,1655.8652,25.970814,1.7626097,6.4971313,6.7665462,2.3434784,0.33141723,6.42155,25.646465
,0.31-0.10-0.18-0.12-0.29,-6.217417,5.717876,1.3426614,4.851319,3.129071,12.569999,1547.7117,30.229824,1.7439985,6.7119756,6.535649,2.7391753,0.22166555,5.9385214,10.898143
,0.16-0.32-0.19-0.11-0.22,-11.378671,5.3523703,1.349245,3.5584316,1.933303,12.862006,1710.3411,21.674017,1.7981715,6.61854,7.6200194,2.3912005,0.17220369,7.1386685,26.42604
,0.24-0.17-0.30-0.29,1.8459275,1.1354158,1.4872742,4.5723386,13.941189,11.347156,2267.9194,13.332957,1.4328263,8.696434,4.170847,0.37851438,0.9999999,8.064136,623.7116
,0.18-0.18-0.23-0.04-0.06-0.30,-5.840222,2.4842396,1.41167,3.3686266,7.2198873,13.552102,3111.3796,16.204277,1.9072257,19.518106,5.4413233,0.5760531,0.9996388,13.608585,90.11643
,0.04-0.26-0.17-0.17-0.13-0.15-0.07,-21.046797,10.439817,1.3931359,4.4776936,1.4292777,15.216645,1976.8951,23.365065,1.8202332,12.562804,7.0887313,2.2920353,0.029503621,7.5539904,23.230234
,0.01-0.08-0.27-0.20-0.17-0.07-0.02-0.17,-12.900323,6.624368,1.4078066,3.3593178,3.1744678,15.114547,2709.42,24.888893,1.9495417,14.805891,6.6156898,1.7791629,0.93182063,11.649965,50.96811
,0.31-0.22-0.27-0.20,-25.03798,12.252987,1.3110348,8.213515,0.79863405,11.422068,1750.662,2.4889398,1.8808256,1.5906271,8.039673,2.1426635,0.97293174,6.6432614,24.416689
,0.31-0.18-0.07-0.16-0.09-0.19,-10.185615,7.1028204,1.3266006,4.1363983,2.0144308,13.991474,1466.4797,27.918552,1.7834474,7.434356,7.307871,3.1667445,0.87377876,6.213342,17.974129
,0.27-0.06-0.28-0.10-0.29,-6.03086,6.8748417,1.3313522,3.9359405,2.9364603,12.243534,1446.4268,26.05538,1.8032465,7.286436,7.9573765,3.2615747,0.15260822,6.5705132,6.6679363
,0.19-0.22-0.14-0.12-0.15-0.04-0.05-0.08,-8.172261,6.457357,1.3473309,3.8773985,3.2596576,16.200895,1644.2776,25.694841,1.7623869,7.22196,7.189751,2.6418178,0.06315121,6.683334,20.777637
,0.07-0.31-0.18-0.04-0.25-0.15,-9.23581,6.9078426,1.3557497,2.8772774,2.5031462,13.450226,1718.8248,21.742062,1.7872305,10.828163,7.7313795,2.4972908,0.18392833,7.089917,27.722176
,0.09-0.23-0.22-0.13-0.04-0.29,-11.366194,5.4345155,1.3544607,3.4198747,2.1033902,13.614404,1756.0474,19.117468,1.8148799,6.5763817,8.166505,2.434868,0.24051112,7.384635,117.02305
,0.21-0.04-0.11-0.18-0.16-0.18-0.12,-13.563981,9.203368,1.3489053,4.098854,1.8191575,15.533753,1588.4773,25.605642,1.7586021,8.182039,7.1851535,3.0524313,0.71487135,6.274008,8.413464
,0.10-0.26-0.18-0.08-0.16-0.14-0.08,-5.6482387,5.333378,1.3635527,3.3297586,4.6327763,15.451586,1693.4844,20.418266,1.7633357,7.5930634,7.633251,2.1441803,0.090407416,7.3427644,20.926048
,0.13-0.03-0.25-0.05-0.27-0.10-0.18,-26.0076,13.381312,1.3257194,6.468527,0.88455206,14.53887,1582.3152,20.90047,1.7916131,8.608761,7.497594,3.2830276,0.046799313,5.995552,6.635771
,0.08-0.31-0.18-0.03-0.29-0.12,-12.261088,6.796568,1.3815379,1.7547452,2.0415833,13.152492,1903.216,10.461338,1.7629701,7.738748,7.547122,2.0478194,0.0021394978,7.41714,11.320872
,0.13-0.11-0.17-0.16-0.22-0.06-0.15,-10.399245,8.414108,1.3639944,3.6453087,2.5610147,15.6884575,1697.593,22.551262,1.7509804,7.821315,7.11757,2.6966243,0.016454462,6.544374,12.06667
,0.19-0.12-0.18-0.20-0.13-0.18,-29.904179,14.058155,1.2670727,17.362421,0.96177757,14.767925,1947.5427,41.276886,1.8673264,15.106996,6.698856,2.5783448,3.992989e-05,6.2295413,19.88849
,0.29-0.16-0.11-0.10-0.34,-16.00391,5.8201923,1.3395449,4.56198,1.3731983,12.4922905,1759.2081,30.82982,1.6411649,4.3724422,4.7992387,1.5251111,0.00057777745,5.094418,12.192678
,0.32-0.02-0.37-0.20-0.05-0.05,-0.13130258,3.4285722,1.37392,2.1262512,127.14481,11.70234,1426.5792,21.056976,1.7605804,9.778132,9.449174,2.0867765,0.013711885,8.122966,6.808852
,0.56-0.39-0.05,-6.0626903,1.377058,1.4449481,1.5247307,3.3793852,7.133784,2871.9907,7.200347,1.9479556,14.581911,5.6200285,0.55386925,0.9998512,9.929275,26.968174
,0.14-0.23-0.15-0.08-0.14-0.25,-7.682011,5.9769974,1.3503438,3.4421508,3.1297731,14.368881,1673.2651,21.488852,1.8110762,6.389922,7.969515,2.4716156,0.08215277,7.2873554,20.552374
,0.21-0.17-0.18-0.07-0.20-0.15,-9.304725,6.1444526,1.3485976,4.1839705,2.611245,14.749441,1647.3107,26.276525,1.7793925,7.0368037,7.2287316,2.6340883,0.41067848,6.6661196,16.52213
,0.11-0.29-0.17-0.13-0.30,-9.721438,4.988281,1.3533685,3.2077312,2.2748587,12.736247,1736.3746,19.00092,1.8138672,6.261102,7.9674315,2.2441206,0.10886759,7.47004,24.204947
,0.28-0.19-0.17-0.37,-19.97083,7.920164,1.367252,5.460555,1.0331068,11.195589,1842.8685,33.832092,1.5914519,2.8776715,4.26731,1.0605863,0.12376695,5.1144776,16.749014
,0.13-0.13-0.17-0.15-0.17-0.11-0.14,-4.0235558,5.960202,1.3602493,3.5316997,6.620059,16.22315,1641.8616,22.674864,1.770692,7.630637,7.799702,2.4608085,0.03194575,7.23282,13.611061
,0.19-0.19-0.03-0.32-0.14-0.13,-7.6364193,4.9252086,1.3708502,4.669456,3.3323607,13.800303,1843.9667,31.656322,1.8172696,9.62238,6.787534,2.3031793,0.0026311884,7.0884767,7.7515545
,0.20-0.17-0.16-0.22-0.20-0.04,-8.159628,7.4451375,1.3516092,4.132333,2.8275058,14.304127,1612.9186,25.893217,1.7714405,7.3446965,7.363402,2.8619041,0.07947701,6.562535,5.774935
,0.16-0.26-0.18-0.30-0.11,-11.453725,7.48374,1.3925424,5.0162077,2.5406146,12.900099,2255.7578,33.14319,1.5695333,2.8654673,4.387499,0.7455597,0.9998679,7.7186904,110.23629
,0.18-0.14-0.21-0.22-0.24,2.4694016,1.1717019,1.4809546,4.1737547,13.370684,13.251937,2491.53,19.887459,1.445806,7.9007654,4.3544707,0.47970703,1.0,9.723195,483.90237
,0.10-0.09-0.12-0.12-0.33-0.25,-21.202631,10.482831,1.3623402,3.302538,1.1142209,13.8457155,1706.2616,19.577885,1.7545302,9.068654,7.315515,2.9619486,0.058171753,6.4516315,6.617695
,0.30-0.18-0.16-0.18-0.07-0.11,-7.97705,6.7379007,1.3321087,4.267263,2.6856804,14.149711,1514.0806,29.539484,1.7671666,7.4138045,7.124447,3.0843742,0.52689785,6.2334404,18.222403
,0.17-0.25-0.20-0.30-0.07-0.02,-12.290927,7.9572415,1.3960686,5.298679,2.41493,13.112053,2263.6978,34.392372,1.5614604,3.4075048,4.3481007,0.7546279,0.9997484,7.9313993,118.94544
,0.13-0.08-0.17-0.09-0.25-0.28,-11.227331,6.0976787,1.3929269,2.8920534,2.7638397,14.013844,2214.2776,18.233303,1.7424994,12.67436,5.653492,1.6463846,0.002135463,6.996311,23.325274
,0.14-0.03-0.15-0.26-0.15-0.16-0.11,-7.78683,8.4833355,1.3561602,3.6261897,3.1879451,15.294902,1623.0233,23.925589,1.7745584,7.8758426,7.6825457,2.9613836,0.030134095,6.7558904,7.95457
,0.25-0.22-0.09-0.10-0.08-0.06-0.18,-11.302469,6.96903,1.3366692,4.0621405,2.0621984,15.211341,1532.2732,25.90668,1.7739542,7.7746334,7.391108,2.873665,0.877833,6.5381403,20.214842
,0.13-0.15-0.12-0.26-0.32,-15.744478,11.441734,1.4561875,7.100203,1.7147963,13.176628,2048.974,25.106472,1.4578282,9.329133,4.0638437,0.8464344,0.08569079,7.0020785,464.0551
,0.29-0.14-0.20-0.16-0.11-0.10,-20.084763,7.8818746,1.3435436,4.7210164,1.1592218,14.332093,1624.5144,28.8495,1.7191803,7.6012135,6.1083803,2.5908303,0.264553,5.6762877,15.079359
,0.37-0.04-0.14-0.11-0.27-0.06,-4.1149864,3.6572258,1.3628166,1.6104457,5.465883,12.894692,1744.2856,9.053383,1.8287708,6.5142117,8.729651,1.3981516,0.9469045,8.3491955,27.720743
,0.18-0.24-0.12-0.22-0.06-0.17,-10.915058,5.7872868,1.3551618,4.2568836,2.2968507,14.531992,1725.1769,28.219307,1.8099922,8.825057,7.2671857,2.4600132,0.017379869,7.0022697,21.28374
,0.15-0.14-0.32-0.20-0.19,-10.862492,6.3154035,1.39114,5.0481277,2.6654823,12.985841,2229.642,29.02377,1.6738403,11.870656,4.6411476,0.9015056,0.120898716,6.6614103,26.565422
,0.28-0.19-0.33-0.15-0.05,-15.271841,5.9070415,1.3504533,4.826912,1.3006932,12.196272,1628.6925,28.235569,1.7333419,7.0158668,6.3108425,2.5106454,0.4266556,5.8534284,4.4922104
,0.14-0.24-0.17-0.05-0.14-0.14-0.13,-8.490811,5.7406945,1.3585379,3.5945926,3.0744004,15.655703,1667.3892,21.667355,1.759357,7.8311934,7.5194387,2.2836945,0.030841045,7.1441607,19.798624
,0.42-0.05-0.21-0.21-0.03-0.04-0.04,-3.3256567,3.7040079,1.3446687,7.203113,4.012603,12.699759,1050.7708,26.518198,1.6343796,12.90928,5.6828423,4.0971217,0.313069,4.073645,10.254093
,0.12-0.25-0.14-0.13-0.21-0.04-0.11,-3.8659124,5.731763,1.3576683,3.3705528,6.590576,15.279608,1667.4894,20.8371,1.8002009,6.540501,7.9629955,2.3271875,0.112424694,7.391805,20.359665
,0.15-0.28-0.37-0.19,-5.244915,2.3179803,1.432827,1.6615434,5.372663,11.050297,2550.081,14.711044,1.7571299,14.603159,5.2462196,0.7541238,0.9998821,8.027752,25.47399
,0.26-0.03-0.48-0.02-0.22,-2.9269962,2.7340312,1.4528781,4.759597,10.770353,10.050839,3136.5312,14.704506,1.6395805,23.788929,4.9425197,0.7007806,1.0,15.699088,491.28036
,0.32-0.44-0.02-0.22,-6.6148825,2.0345879,1.4266927,2.9232743,4.292958,9.500158,2989.151,13.476387,1.9450964,16.956316,5.5178747,0.5422215,0.99995303,11.241238,29.11991
,0.19-0.17-0.08-0.30-0.25,-11.110165,4.9318423,1.3668518,2.2981422,2.2587981,12.7765255,1964.1971,17.189499,1.8409753,7.998109,7.8630524,1.9992671,0.31456676,8.073469,21.83858
,0.13-0.17-0.18-0.36-0.15,-11.393466,5.4133654,1.4068232,4.677865,2.5931432,12.790114,2309.978,27.723602,1.704088,12.750615,4.9328833,1.0205986,0.9666145,7.204929,25.647633
,0.33-0.01-0.25-0.11-0.21-0.09,4.6881433,3.0903575,1.3657498,2.3387318,4.3064985,13.021682,1550.4514,24.801544,1.8898252,2.2457588,10.0132675,1.6647019,0.08427488,8.441454,25.214602
,0.08-0.31-0.22-0.19-0.10-0.06-0.05,-4.0403357,2.4045045,1.4471635,3.6226318,10.227851,14.489426,2852.0068,13.861097,1.7617615,19.221384,5.238732,0.6559196,0.9999902,11.392753,252.59097
,0.35-0.10-0.18-0.30-0.06,-6.998377,8.867841,1.3431008,4.942777,2.953549,12.040525,1716.7062,7.3240647,1.8832915,1.4970078,9.004671,1.5784719,0.999987,7.986725,25.92455
,0.25-0.06-0.15-0.23-0.20-0.10,-19.584255,9.1610985,1.3709345,1.8075217,1.3490984,14.140914,1868.4142,8.413464,1.7708349,8.298338,7.4627404,2.3013856,3.1993342e-05,7.105904,22.48561
,0.17-0.18-0.15-0.22-0.08-0.10-0.01-0.09,-9.551666,8.452106,1.3497169,3.802267,2.675685,16.006742,1596.655,26.058044,1.7737162,7.8987913,7.570748,3.024561,0.2817382,6.6602097,17.478153
,0.18-0.18-0.23-0.18-0.23,2.7396386,1.2350138,1.4815753,4.0048237,12.371123,13.330877,2542.3994,19.307419,1.4511836,7.9986067,4.4130397,0.49389794,1.0,9.994979,469.0427
,0.16-0.18-0.14-0.16-0.16-0.17-0.03,-5.7199144,6.4204855,1.3490226,3.6044877,4.4419365,15.5056715,1638.5934,23.708328,1.7990681,6.6480703,7.830447,2.660522,0.052545078,7.086037,17.674927
,0.32-0.16-0.18-0.12-0.22,-3.7123055,2.2443125,1.45081,4.287634,8.532943,12.942352,2447.5366,16.10447,1.7126567,18.846155,4.923487,0.84307116,0.9999821,7.4961534,22.332888
,0.11-0.33-0.03-0.28-0.17-0.06-0.01,-2.4817855,2.0269132,1.4141836,3.0696554,13.511047,13.372425,2507.5112,19.88163,1.6900129,14.968297,4.881192,0.67182,0.99997485,8.043598,42.02085
,0.09-0.27-0.24-0.16-0.04-0.20,-2.761876,2.4649084,1.4668529,4.00495,12.493753,13.848136,2491.7568,14.922852,1.6617135,19.4388,4.820727,0.8303988,0.9999932,8.285679,279.2286
,0.23-0.05-0.39-0.24-0.09,-4.2545342,3.377865,1.3927016,2.0022845,4.5301514,11.738489,1641.9215,26.922968,1.7122815,9.519876,8.176935,2.3589609,0.2211372,7.679274,8.499017
,0.18-0.08-0.24-0.06-0.35-0.07,-6.092977,3.408842,1.3697276,1.8070482,3.9789605,13.390332,1810.5383,10.048101,1.8207097,6.2646255,8.443966,1.5866531,0.89599824,8.141631,17.761635
,0.09-0.07-0.36-0.34-0.11-0.04,-9.047253,3.8608296,1.4263227,4.0690293,3.6598597,12.6323395,2621.1829,23.327154,1.7928576,15.432894,5.2127347,0.905244,0.9999863,9.295019,70.56056
,0.17-0.38-0.16-0.02-0.26,-4.8383574,2.0876653,1.378319,1.8043618,4.652225,11.75306,1915.1711,11.045993,1.7884997,6.4267197,7.9099674,1.6651976,0.8968811,8.003237,16.81241
,0.32-0.31-0.28-0.09,-5.1412773,2.4825022,1.4114237,2.0974505,4.808366,10.781526,2292.9165,14.162988,1.6050677,2.9357984,5.041349,0.77391255,0.9784756,6.763165,24.276278
,0.08-0.01-0.05-0.01-0.30-0.18-0.20-0.16,-6.294409,7.637633,1.4446585,5.3060465,5.6160474,14.614727,2418.772,26.514677,1.5192546,8.526092,4.4485154,0.67949367,0.9999999,8.666979,228.47243
,0.13-0.26-0.23-0.12-0.08-0.18,-10.596785,5.131689,1.3580931,3.5354977,2.3312073,14.264547,1731.7968,21.10889,1.769339,7.3606806,7.446265,2.2250426,0.14302464,7.166593,22.097366
,0.16-0.23-0.05-0.50-0.06-0.01,-4.9105115,3.0621424,1.3662994,2.0649881,4.227057,11.153808,1860.9795,18.000381,1.8892602,5.6116805,8.858813,1.4682903,0.9879125,8.74206,17.26082
,0.27-0.23-0.26-0.23,-3.5511394,1.5774332,1.3748119,1.8265178,6.049524,11.513568,1865.8591,9.410606,1.8226246,5.163143,8.27174,1.4362392,0.8693908,8.190237,21.50297
,0.10-0.02-0.71-0.17,-2.2408762,2.8502057,1.3864907,1.6178479,5.005334,7.271657,1542.4722,7.2650185,1.6533966,9.69542,7.9488583,1.5336336,0.38380435,7.85257,4.408601
,0.10-0.25-0.11-0.32-0.23,1.6816695,3.9775662,1.3761039,1.8223416,12.173197,12.600871,1624.5944,14.819524,1.7600175,9.082798,8.684913,1.84083,0.11146312,8.15913,5.803454
,0.17-0.18-0.22-0.07-0.15-0.21,-8.50898,5.997318,1.3518931,3.791887,2.8778815,14.508568,1687.8187,23.863083,1.7851102,6.808481,7.5147614,2.5577729,0.0754706,6.966036,17.341532
,0.17-0.02-0.08-0.19-0.18-0.13-0.22,-15.968959,9.748192,1.3575532,3.9519577,1.5344688,15.075617,1625.3972,23.909018,1.7380159,8.698384,6.929735,3.0424087,0.48851287,6.0925436,6.545982
,0.04-0.31-0.26-0.27-0.11,-4.8419733,2.8833156,1.4230076,2.4191062,6.145472,12.044803,2470.46,17.233614,1.7707615,15.116575,5.164898,0.97084695,0.9997098,7.610575,22.864758
,0.20-0.14-0.14-0.29-0.24,-10.937701,4.83591,1.3636097,1.639693,2.2844934,13.017617,1919.4835,10.784989,1.7909985,6.723323,7.769341,2.0079644,0.06251434,7.7351923,21.926476
,0.34-0.30-0.12-0.12-0.08-0.05,-10.648779,6.587428,1.3265493,4.3367825,1.8430692,13.17708,1489.4373,29.755358,1.7631269,7.35471,6.8384275,3.0118623,0.8768332,6.009243,25.429836
,0.18-0.23-0.09-0.29-0.05-0.16,-0.033201694,3.3853564,1.3785536,1.8029507,757.89026,13.815265,1821.3536,12.798442,1.8051167,6.0249724,8.253052,1.5819259,0.9820192,8.109039,15.860395
,0.15-0.18-0.18-0.20-0.13-0.03-0.08-0.06,-6.5847116,7.4892344,1.3541485,3.6824715,4.027587,16.183805,1638.7057,24.22614,1.7715154,7.548481,7.5639358,2.7496517,0.028047064,6.872981,16.688454
,0.31-0.15-0.25-0.28,-11.773076,4.9413133,1.3576195,1.3367136,1.8013401,11.27323,1881.2098,10.143578,1.8096154,6.3657136,7.9756374,1.9656997,0.19539563,7.8226595,28.644463
,0.14-0.23-0.14-0.12-0.16-0.06-0.15,-6.221078,6.061932,1.353592,3.5653222,4.1530128,15.71011,1644.5596,22.187283,1.7883962,7.1356115,7.8092604,2.4618542,0.058802254,7.202673,19.793995
,0.33-0.23-0.16-0.16-0.12,-4.120194,2.0977714,1.4142243,3.0921183,8.367862,12.821503,2689.0146,19.02221,1.8691164,16.843294,5.2913876,0.7205677,0.9999404,9.287936,24.4478
,0.34-0.01-0.26-0.30-0.01-0.07,-4.457531,3.2727299,1.3650115,1.7865132,4.629054,11.5719,1783.1251,10.519469,1.8562307,4.074677,8.79238,1.4356285,0.9924924,8.31139,26.02746
